PERIOD;SCENARIO;ENTITY;CENTER;DIVISION_CODE;AREA_CODE;FUNCTION_CODE;ORGANIZATION_CHART;CENTRALIZED_SOURCE_CENTER;FUNCTION_CODE_CENTRALIZED;ORGANIZATION_CHART_CENTRALIZED;OWN_SOURCE_CENTER;FUNCTION_CODE_OWN_COST;ORGANIZATION_CHART_OWN_COST;TAXONOMY_CODE;TAXONOMY_CORP;SPENT_TYPE;BUSINESS_AREA;GEOGRAPHY_CODE;GEOGRAPHY_CORP;COMPANY_CODE;PROJECT_CODE;LOCAL_CURRENCY_AMOUNT;AUDIT_CODE;AUDIT_DESCRIPTION_ES;AUDIT_DESCRIPTION_EN;EUROS_AMOUNT;HEADCOUNT;SETTLE_CODE;AUDIT_CORP
202506;C0401;9942023;0000;;;F00050;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-7246,334;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-7246,334;0;103679;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-2084,13;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-2084,13;0;102318;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-7267,539;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-7267,539;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-520,116;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-520,116;0;103675;01_DZR
202506;C0401;9942023;0000;;;F00080;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-11003,7;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-11003,7;0;103680;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;404785,847;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;404785,847;0;102983;01_DZN
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-2198,033;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-2198,033;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-1791,282;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-1791,282;0;103552;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-13952,84;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-13952,84;0;102845;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-118,562;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-118,562;0;103554;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-411637,336;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-411637,336;0;102971;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-3452,869;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-3452,869;0;103674;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-113,891;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-113,891;0;103140;01_DZR
202506;C0401;9942023;0000;;;F00047;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-46,733;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-46,733;0;103676;01_DZR
202506;C0401;9942023;0000;;;F00050;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-4620,871;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-4620,871;0;103679;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-102236,423;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-102236,423;0;102318;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-1154,809;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-1154,809;0;102970;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-3985,807;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-3985,807;0;102318;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-7724,262;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-7724,262;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-704,511;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-704,511;0;103675;01_DZR
202506;C0401;9942023;0000;;;F00080;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020400;42023;42023;0;Pr_xxx;-3057,533;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-3057,533;0;103680;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030045;42023;42023;0;Pr_xxx;90222,031;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;90222,031;0;102983;01_DZN
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030045;42023;42023;0;Pr_xxx;-346,259;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-346,259;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030045;42023;42023;0;Pr_xxx;-8,898;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-8,898;0;102845;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030045;42023;42023;0;Pr_xxx;-84,977;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-84,977;0;103554;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030045;42023;42023;0;Pr_xxx;-91749,148;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-91749,148;0;102971;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030045;42023;42023;0;Pr_xxx;-107,556;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-107,556;0;103140;01_DZR
202506;C0401;9942023;0000;;;F00047;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030045;42023;42023;0;Pr_xxx;-13,825;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-13,825;0;103676;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030045;42023;42023;0;Pr_xxx;-1980,541;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-1980,541;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00080;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030045;42023;42023;0;Pr_xxx;-6768,367;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-6768,367;0;103680;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030200;42023;42023;0;Pr_xxx;310692,405;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;310692,405;0;102983;01_DZN
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030200;42023;42023;0;Pr_xxx;-868838,886;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-868838,886;0;103029;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030200;42023;42023;0;Pr_xxx;-821,893;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-821,893;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030200;42023;42023;0;Pr_xxx;-13321,361;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-13321,361;0;102845;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030200;42023;42023;0;Pr_xxx;-70,193;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-70,193;0;103554;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;H0101010;H0101010;02;AN02030200;42023;42023;0;Pr_xxx;-6065,819;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-6065,819;0;103720;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02030200;42023;42023;0;Pr_xxx;-2897,959;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-2897,959;0;103720;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;J0301064;J0301064;09;AN02030200;42023;42023;0;Pr_xxx;-12,471;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-12,471;0;103720;01_DZR
